2021.9.1,"川や海を渡ろう",大きな橋・渡し船などのリサーチ開始
2021.8.11,"Fancy Hotel Tour",商用施設やカフェが併設されていて、自由に立ち入ることができる高級ホテルのリサーチ開始
2021.7.11,"FREE TIME",恥ずかしがらず自由に運動できるスポットのリサーチ開始
2021.7.11,"Fancy & Relaxin'",優雅にリラックスできるスポットのリサーチ開始
